154	118
42	48
125	196
36	106
105	164
43	152
197	17
43	66
208	86
68	233
226	108
91	131
133	19
131	39
230	93
85	30
173	131
101	88
240	239
242	188
225	237
44	115
1	46
187	152
73	147
127	251
80	87
251	166
7	174
64	182
190	75
78	218
167	62
60	101
47	193
20	250
41	143
20	55
45	94
163	7
238	231
89	138
48	89
197	105
119	40
102	177
139	71
121	239
160	176
153	19
120	95
100	98
31	7
187	99
232	71
14	90
183	67
124	187
66	11
227	121
110	148
140	71
189	239
43	102
90	45
20	231
73	118
13	17
40	8
183	22
224	251
166	215
15	184
35	103
99	118
146	40
85	108
81	235
178	35
88	198
202	123
178	78
66	220
218	53
28	50
75	224
106	123
146	166
124	46
132	28
32	1
192	181
159	72
123	146
242	114
256	48
29	46
159	12
39	182
238	138
